항구청명,사용년월,사용월,시설코드,시설서브코드,시설명,접안시간,처리실적
"감천","2025","09","MK3","02","감천 3부두 2선석","555","6333"
"감천","2025","09","MK5","02","감천 5부두 2선석","48","2631"
"감천","2025","09","MK4","01","감천 4부두 1선석(국제수산물부두)","463","767"
"감천","2025","09","MK3","01","감천 3부두 1선석","894","8132"
"감천","2025","09","MKC","04","감천 중앙부두 4선석","240","25587"
"감천","2025","09","MK3","04","감천 3부두 4선석","1293","4432"
"감천","2025","09","MK7","02","감천 7부두 2선석","345","22842"
"감천","2025","09","MK2","03","감천 2부두 3선석","131","4962"
"감천","2025","10","MK7","02","감천 7부두 2선석","302","25147"
"감천","2025","10","MK2","01","감천 2부두 1선석","290","9693"
"감천","2025","10","MKC","03","감천 중앙부두 3선석","301","59230"
"감천","2025","10","MK5","03","감천 5부두 3선석","412","69110"
"감천","2025","10","MK3","01","감천 3부두 1선석","633","2390"
"감천","2025","10","MK3","02","감천 3부두 2선석","1003","1968"
"감천","2025","10","MK6","01","감천 6부두 1선석","230","19087"
"감천","2025","10","MK1","02","감천 1부두 2선석","110","1754"
"감천","2025","10","MK6","02","감천 6부두 2선석","682","39445"
"감천","2025","10","MK4","01","감천 4부두 1선석(국제수산물부두)","608","494"
"감천","2025","10","MK6","03","감천 6부두 3선석","220","13147"
"감천","2025","10","MK3","04","감천 3부두 4선석","538","2153"
"감천","2025","10","MK1","03","감천 1부두 3선석","394","2953"
"감천","2025","10","MKC","05","감천 중앙부두 5선석","164","13608"
"감천","2025","10","MK1","04","감천 1부두 4선석","869","9898"
"감천","2025","10","MK2","04","감천 2부두 4선석","196","2309"
"감천","2025","10","MKC","02","감천 중앙부두 2선석","304","19099"
"감천","2025","10","MK2","02","감천 2부두 2선석","671","11427"
"감천","2025","10","MK5","02","감천 5부두 2선석","147","35"
"감천","2025","10","MKC","01","감천 중앙부두 1선석","109","10914"
"감천","2025","10","MK7","01","감천 7부두 1선석","554","38218"
"감천","2025","10","MQA","03","삼한안벽-03","19","395"
"감천","2025","10","MK2","03","감천 2부두 3선석","307","13937"
"감천","2025","10","MK3","03","감천 3부두 3선석","908","6533"
"감천","2025","10","MKC","04","감천 중앙부두 4선석","152","15795"
"감천","2025","11","MK2","02","감천 2부두 2선석","747","9222"
"감천","2025","11","MK3","02","감천 3부두 2선석","601","810"
"감천","2025","11","MK6","01","감천 6부두 1선석","173","18088"
"감천","2025","11","MK4","01","감천 4부두 1선석(국제수산물부두)","519","1247"
"감천","2025","11","MKC","01","감천 중앙부두 1선석","189","15815"
"감천","2025","11","MK5","02","감천 5부두 2선석","242","1483"
"감천","2025","11","MK7","02","감천 7부두 2선석","468","22748"
"감천","2025","11","MKC","04","감천 중앙부두 4선석","240","32429"
"감천","2025","11","MK2","01","감천 2부두 1선석","404","24952"
"감천","2025","11","MK7","01","감천 7부두 1선석","340","33231"
"감천","2025","11","MK6","02","감천 6부두 2선석","808","21538"
"감천","2025","11","MK3","03","감천 3부두 3선석","397","1526"
"감천","2025","11","MK1","03","감천 1부두 3선석","1085","3734"
"감천","2025","11","MK6","03","감천 6부두 3선석","246","14476"
"감천","2025","11","MK3","01","감천 3부두 1선석","810","808"
"감천","2025","11","MKC","03","감천 중앙부두 3선석","427","47505"
"감천","2025","11","MK2","04","감천 2부두 4선석","270","4752"
"감천","2025","11","MK3","04","감천 3부두 4선석","1013","12961"
"감천","2025","11","MK2","03","감천 2부두 3선석","378","12231"
"감천","2025","11","MK5","03","감천 5부두 3선석","386","49136"
"감천","2025","11","MKC","05","감천 중앙부두 5선석","250","14600"
"감천","2025","11","MK1","02","감천 1부두 2선석","54","860"
"감천","2025","11","MK1","04","감천 1부두 4선석","554","2760"
"감천","2025","11","MKC","02","감천 중앙부두 2선석","374","64962"
"감천","2025","12","MK2","01","감천 2부두 1선석","306","17535"
"감천","2025","12","MK2","03","감천 2부두 3선석","250","7375"
"감천","2025","12","MK1","02","감천 1부두 2선석","193","0"
"감천","2025","12","MK6","02","감천 6부두 2선석","256","23427"
"감천","2025","12","MKC","03","감천 중앙부두 3선석","304","47626"
"감천","2025","12","MK6","01","감천 6부두 1선석","288","28949"
"감천","2025","12","MKC","04","감천 중앙부두 4선석","233","32011"
"감천","2025","12","MK2","04","감천 2부두 4선석","664","13888"
"감천","2025","12","MKC","05","감천 중앙부두 5선석","219","16891"
"감천","2025","12","MK1","03","감천 1부두 3선석","729","6290"
"감천","2025","12","MK3","03","감천 3부두 3선석","449","2498"
"감천","2025","12","MK5","02","감천 5부두 2선석","309","4472"
"감천","2025","12","MKC","01","감천 중앙부두 1선석","142","14142"
"감천","2025","12","MQA","03","삼한안벽-03","10","931"
"감천","2025","12","MK4","01","감천 4부두 1선석(국제수산물부두)","455","804"
"감천","2025","12","MK7","01","감천 7부두 1선석","610","32294"
"감천","2025","12","MKC","02","감천 중앙부두 2선석","279","35800"
"감천","2025","12","MK6","03","감천 6부두 3선석","284","15523"
"감천","2025","12","MK5","01","감천 5부두 1선석","489","52"
"감천","2025","12","MK1","04","감천 1부두 4선석","464","4037"
"감천","2025","12","MK3","01","감천 3부두 1선석","553","2727"
"감천","2025","12","MK7","02","감천 7부두 2선석","99","22720"
"감천","2025","12","MK5","03","감천 5부두 3선석","198","12449"
"감천","2025","12","MK3","02","감천 3부두 2선석","576","3146"
"감천","2025","12","MK2","02","감천 2부두 2선석","250","7903"
"감천","2025","12","MK3","04","감천 3부두 4선석","1065","8326"
"감천","2026","01","MK2","04","감천 2부두 4선석","131","859"
"감천","2026","01","MK6","01","감천 6부두 1선석","210","17300"
"감천","2026","01","MK6","02","감천 6부두 2선석","359","14506"
"감천","2026","01","MK3","02","감천 3부두 2선석","378","1693"
"감천","2026","01","MK6","03","감천 6부두 3선석","163","4349"
"감천","2026","01","MKC","01","감천 중앙부두 1선석","120","5470"
"감천","2026","01","MK7","02","감천 7부두 2선석","276","18905"
"감천","2026","01","MK5","03","감천 5부두 3선석","310","9941"
"감천","2026","01","MKC","02","감천 중앙부두 2선석","345","63122"
"감천","2026","01","MK1","02","감천 1부두 2선석","433","102"
"감천","2026","01","MK3","04","감천 3부두 4선석","1206","970"
"감천","2026","01","MK2","01","감천 2부두 1선석","533","12765"
"감천","2026","01","MKC","03","감천 중앙부두 3선석","512","46201"
"감천","2026","01","MK2","02","감천 2부두 2선석","394","1686"
"감천","2026","01","MK3","01","감천 3부두 1선석","492","2182"
"감천","2026","01","MK5","02","감천 5부두 2선석","457","3500"
"감천","2026","01","MK4","01","감천 4부두 1선석(국제수산물부두)","416","685"
"감천","2026","01","MK2","03","감천 2부두 3선석","199","7989"
"감천","2026","01","MK1","04","감천 1부두 4선석","512","3740"
"감천","2026","01","MK7","01","감천 7부두 1선석","276","34298"
"감천","2026","01","MKC","05","감천 중앙부두 5선석","248","22414"
"감천","2026","01","MK3","03","감천 3부두 3선석","597","1860"
"감천","2026","01","MQA","03","삼한안벽-03","21","1421"
"감천","2026","01","MK1","03","감천 1부두 3선석","380","3179"
"감천","2026","01","MKC","04","감천 중앙부두 4선석","248","24870"
"감천","2026","02","MK3","02","감천 3부두 2선석","1071","6756"
"감천","2026","02","MKC","04","감천 중앙부두 4선석","344","19014"
"감천","2026","02","MK5","03","감천 5부두 3선석","364","11556"
"감천","2026","02","MK6","02","감천 6부두 2선석","369","39156"
"감천","2026","02","MK1","03","감천 1부두 3선석","425","4411"
"감천","2026","02","MK6","01","감천 6부두 1선석","135","9541"
"감천","2026","02","MK2","03","감천 2부두 3선석","204","6553"
"감천","2026","02","MKC","05","감천 중앙부두 5선석","299","13915"
"감천","2026","02","MK1","04","감천 1부두 4선석","336","2294"
"감천","2026","02","MKC","01","감천 중앙부두 1선석","192","4476"
"감천","2026","02","MK5","01","감천 5부두 1선석","236","0"
"감천","2026","02","MK2","04","감천 2부두 4선석","601","24469"
"감천","2026","02","MK1","02","감천 1부두 2선석","755","2298"
"감천","2026","02","MKC","03","감천 중앙부두 3선석","410","68697"
"감천","2026","02","MK6","03","감천 6부두 3선석","351","1397"
"감천","2026","02","MK7","02","감천 7부두 2선석","208","15341"
"감천","2026","02","MK2","01","감천 2부두 1선석","537","11445"
"감천","2026","02","MK3","04","감천 3부두 4선석","917","8314"
"감천","2026","02","MK2","02","감천 2부두 2선석","585","14360"
"감천","2026","02","MK3","01","감천 3부두 1선석","1114","5366"
"감천","2026","02","MK3","03","감천 3부두 3선석","1002","3321"
"감천","2026","02","MKC","02","감천 중앙부두 2선석","343","16219"
"감천","2026","02","MK5","02","감천 5부두 2선석","536","3305"
"감천","2026","02","MK4","01","감천 4부두 1선석(국제수산물부두)","910","922"
"감천","2026","02","MK7","01","감천 7부두 1선석","431","29725"
"감천","2026","03","MK7","02","감천 7부두 2선석","502","16186"
"감천","2026","03","MK2","03","감천 2부두 3선석","363","11335"
"감천","2026","03","MK6","01","감천 6부두 1선석","282","24994"
"감천","2026","03","MK3","03","감천 3부두 3선석","466","2859"
"감천","2026","03","MKC","02","감천 중앙부두 2선석","339","35756"
"감천","2026","03","MK6","03","감천 6부두 3선석","459","13701"
"감천","2026","03","MK5","02","감천 5부두 2선석","780","2675"
"감천","2026","03","MK2","02","감천 2부두 2선석","827","14627"
"감천","2026","03","MK2","04","감천 2부두 4선석","636","14803"
"감천","2026","03","MKC","04","감천 중앙부두 4선석","257","31023"
"감천","2026","03","MK3","01","감천 3부두 1선석","1499","4063"
"감천","2026","03","MK1","04","감천 1부두 4선석","328","4419"
"감천","2026","03","MK6","02","감천 6부두 2선석","356","14616"
"감천","2026","03","MK5","03","감천 5부두 3선석","216","13608"
"감천","2026","03","MK5","01","감천 5부두 1선석","592","35"
"감천","2026","03","MKC","05","감천 중앙부두 5선석","194","12625"
"감천","2026","03","MK7","01","감천 7부두 1선석","830","27847"
"감천","2026","03","MK4","01","감천 4부두 1선석(국제수산물부두)","857","992"
"감천","2026","03","MKC","01","감천 중앙부두 1선석","81","949"
"감천","2026","03","MK3","04","감천 3부두 4선석","1216","19645"
"감천","2026","03","MK3","02","감천 3부두 2선석","805","3400"
"감천","2026","03","MKC","03","감천 중앙부두 3선석","441","48664"
"감천","2026","03","MQA","03","삼한안벽-03","8","578"
"감천","2026","03","MK2","01","감천 2부두 1선석","735","30614"
"감천","2026","03","MK1","02","감천 1부두 2선석","803","898"
"감천","2026","03","MK1","03","감천 1부두 3선석","1067","7185"
"감천","2026","04","MK6","02","감천 6부두 2선석","561","15635"
"감천","2026","04","MKC","04","감천 중앙부두 4선석","305","27481"
"감천","2026","04","MKC","01","감천 중앙부두 1선석","166","17692"
"감천","2026","04","MK2","02","감천 2부두 2선석","782","20389"
"감천","2026","04","MK6","03","감천 6부두 3선석","321","2743"
"감천","2026","04","MK2","01","감천 2부두 1선석","706","22673"
"감천","2026","04","MK7","01","감천 7부두 1선석","255","74403"
"감천","2026","04","MK5","03","감천 5부두 3선석","323","14585"
"감천","2026","04","MK5","01","감천 5부두 1선석","1137","1"
"감천","2026","04","MK3","01","감천 3부두 1선석","866","4335"
"감천","2026","04","MK3","04","감천 3부두 4선석","1140","14131"
"감천","2026","04","MK5","02","감천 5부두 2선석","362","7000"
"감천","2026","04","MK6","01","감천 6부두 1선석","132","16590"
"감천","2026","04","MKC","02","감천 중앙부두 2선석","357","43047"
"감천","2026","04","MK3","02","감천 3부두 2선석","1174","6417"
"감천","2026","04","MK1","02","감천 1부두 2선석","458","2483"
"감천","2026","04","MK1","03","감천 1부두 3선석","309","687"
"감천","2026","04","MK7","02","감천 7부두 2선석","599","43953"
"감천","2026","04","MK1","04","감천 1부두 4선석","1354","6061"
"감천","2026","04","MK2","03","감천 2부두 3선석","688","10924"
"감천","2026","04","MKC","05","감천 중앙부두 5선석","304","20439"
"감천","2026","04","MK2","04","감천 2부두 4선석","545","10225"
"감천","2026","04","MK4","01","감천 4부두 1선석(국제수산물부두)","1046","1340"
"감천","2026","04","MK3","03","감천 3부두 3선석","827","1557"
"감천","2026","04","MKC","03","감천 중앙부두 3선석","427","42530"
"감천","2026","05","MK7","01","감천 7부두 1선석","373","12925"
"감천","2026","05","MKC","03","감천 중앙부두 3선석","481","34809"
"감천","2026","05","MK5","03","감천 5부두 3선석","216","23352"
"감천","2026","05","MK2","03","감천 2부두 3선석","409","17762"
"감천","2026","05","MKC","02","감천 중앙부두 2선석","545","57390"
"감천","2026","05","MK1","04","감천 1부두 4선석","803","1395"
"감천","2026","05","MKC","05","감천 중앙부두 5선석","356","10990"
"감천","2026","05","MK3","04","감천 3부두 4선석","2116","10147"
"감천","2026","05","MK2","01","감천 2부두 1선석","358","13053"
"감천","2026","05","MKC","04","감천 중앙부두 4선석","386","39752"
"감천","2026","05","MK6","02","감천 6부두 2선석","668","44399"
"감천","2026","05","MK5","02","감천 5부두 2선석","505","3945"
"감천","2026","05","MK1","03","감천 1부두 3선석","1639","3215"
"감천","2026","05","MK4","01","감천 4부두 1선석(국제수산물부두)","718","1942"
"감천","2026","05","MK6","01","감천 6부두 1선석","166","10608"
"감천","2026","05","MK7","02","감천 7부두 2선석","353","29652"
"감천","2026","05","MK3","01","감천 3부두 1선석","1187","636"
"감천","2026","05","MKC","01","감천 중앙부두 1선석","160","7302"
"감천","2026","05","MK3","02","감천 3부두 2선석","1884","4332"
"감천","2026","05","MK3","03","감천 3부두 3선석","686","2021"
"감천","2026","05","MK6","03","감천 6부두 3선석","274","5441"
"감천","2026","05","MK2","04","감천 2부두 4선석","869","3013"
"감천","2026","05","MK1","02","감천 1부두 2선석","1023","1286"
"감천","2026","05","MK5","01","감천 5부두 1선석","1303","105"
"감천","2026","05","MK2","02","감천 2부두 2선석","1061","6595"
"감천","2026","06","MK1","04","감천 1부두 4선석","531","2994"
"감천","2026","06","MK3","01","감천 3부두 1선석","1033","1280"
"감천","2026","06","MK7","01","감천 7부두 1선석","524","55001"
"감천","2026","06","MK6","03","감천 6부두 3선석","207","6912"
"감천","2026","06","MK5","01","감천 5부두 1선석","0","42"
"감천","2026","06","MK3","03","감천 3부두 3선석","892","2671"
"감천","2026","06","MK1","02","감천 1부두 2선석","395","887"
"감천","2026","06","MK1","03","감천 1부두 3선석","794","2789"
"감천","2026","06","MKC","05","감천 중앙부두 5선석","314","27290"
"감천","2026","06","MK2","04","감천 2부두 4선석","557","5098"
"감천","2026","06","MK3","02","감천 3부두 2선석","1125","3637"
"감천","2026","06","MK6","02","감천 6부두 2선석","426","11681"
"감천","2026","06","MK6","01","감천 6부두 1선석","131","15786"
"감천","2026","06","MK2","01","감천 2부두 1선석","770","11593"
"감천","2026","06","MK4","01","감천 4부두 1선석(국제수산물부두)","430","968"
"감천","2026","06","MK7","02","감천 7부두 2선석","466","29832"
"감천","2026","06","MKC","03","감천 중앙부두 3선석","536","56438"
"감천","2026","06","MK5","03","감천 5부두 3선석","161","24227"
"감천","2026","06","MK2","02","감천 2부두 2선석","630","9595"
"감천","2026","06","MKC","04","감천 중앙부두 4선석","281","13189"
"감천","2026","06","MK3","04","감천 3부두 4선석","1455","10629"
"감천","2026","06","MKC","01","감천 중앙부두 1선석","178","4099"
"감천","2026","06","MK5","02","감천 5부두 2선석","1124","2640"
"감천","2026","06","MK2","03","감천 2부두 3선석","320","20112"
"감천","2026","06","MKC","02","감천 중앙부두 2선석","507","53767"
"감천","2026","07","MKC","02","감천 중앙부두 2선석","234","19647"
"감천","2026","07","MKC","03","감천 중앙부두 3선석","369","42777"
"감천","2026","07","MK3","02","감천 3부두 2선석","830","9360"
"감천","2026","07","MK2","02","감천 2부두 2선석","431","11922"
"감천","2026","07","MK7","02","감천 7부두 2선석","371","12835"
"감천","2026","07","MK5","02","감천 5부두 2선석","2174","5209"
"감천","2026","07","MK7","01","감천 7부두 1선석","459","50013"
"감천","2026","07","MKC","04","감천 중앙부두 4선석","398","38236"
"감천","2026","07","MK1","04","감천 1부두 4선석","493","5529"
"감천","2026","07","MK5","03","감천 5부두 3선석","229","28221"
"감천","2026","07","MK1","03","감천 1부두 3선석","933","5283"
"감천","2026","07","MK6","01","감천 6부두 1선석","159","16339"
"감천","2026","07","MK3","04","감천 3부두 4선석","1023","13227"
"감천","2026","07","MK6","03","감천 6부두 3선석","443","10683"
"감천","2026","07","MK3","03","감천 3부두 3선석","689","2031"
"감천","2026","07","MK3","01","감천 3부두 1선석","723","2217"
"감천","2026","07","MK2","03","감천 2부두 3선석","523","18670"
"감천","2026","07","MK4","01","감천 4부두 1선석(국제수산물부두)","419","416"
"감천","2026","07","MKC","05","감천 중앙부두 5선석","153","5974"
"감천","2026","07","MK1","02","감천 1부두 2선석","557","472"
"감천","2026","07","MKC","01","감천 중앙부두 1선석","99","17730"
"감천","2026","07","MK2","04","감천 2부두 4선석","212","1701"
"감천","2026","07","MK6","02","감천 6부두 2선석","579","10374"
"감천","2026","07","MQA","03","삼한안벽-03","10","329"
"감천","2026","07","MK2","01","감천 2부두 1선석","353","19402"
"부산","2025","08","MB7","04","7부두 74선석","277","4186"
"부산","2025","08","MBF","13","국제여객터미널 13선석","10","0"
"부산","2025","08","MB7","02","7부두 72선석","207","29183"
"부산","2025","08","MB7","03","7부두 73선석","402","141452"
"부산","2025","08","MBF","11","국제여객터미널 11선석","435","36820"
"부산","2025","08","MBS","03","신선대부두 3선석","1213","449852"
"부산","2025","08","MB8","05","8부두 85선석","299","7758"
"부산","2025","08","MBR","04","감만부두 4선석(신선대감만터미널)","792","471172"
"부산","2025","08","MBU","02","연합부두 연2선석","171","34594"
"부산","2025","08","MBR","E2","신감만부두 2선석","613","501500"
"부산","2025","08","MBF","02","북항크루즈터미널 2선석","0","21688"
"부산","2025","08","MB6","02","자성대부두 62선석","45","15526"
"부산","2025","08","MBS","02","신선대부두 2선석","842","732933"
"부산","2025","08","MBS","01","신선대부두 1선석","1033","2463417"
"부산","2025","08","MB7","01","7부두 71선석","442","30754"
"부산","2025","08","MBD","03","동명부두 D3선석","17","1139"
"부산","2025","08","MBS","04","신선대부두 4선석","1108","336619"
"부산","2025","08","MBR","01","감만부두 1선석(한국허치슨터미널)","1180","1074014"
"부산","2025","08","MBR","03","감만부두 3선석(신선대감만터미널)","1041","285909"
"부산","2025","08","MBR","E1","신감만부두 1선석","627","928444"
"부산","2025","08","MBR","02","감만부두 2선석(신선대감만터미널)","887","712072"
"부산","2025","08","MBR","E3","신감만부두 3선석","561","282695"
"부산","2025","08","MB6","01","자성대부두 61선석","143","0"
"부산","2025","08","MBF","01","북항크루즈터미널 1선석","14","0"
"부산","2025","08","MBF","12","국제여객터미널 12선석","234","85418"
"부산","2025","08","MBS","05","신선대부두 5선석","674","120269"
"부산","2025","09","MBR","03","감만부두 3선석(신선대감만터미널)","973","244506"
"부산","2025","09","MBS","01","신선대부두 1선석","1109","2626849"
"부산","2025","09","MB7","04","7부두 74선석","97","5515"
"부산","2025","09","MBR","E3","신감만부두 3선석","606","262476"
"부산","2025","09","MBR","02","감만부두 2선석(신선대감만터미널)","755","770245"
"부산","2025","09","MBS","03","신선대부두 3선석","1201","305636"
"부산","2025","09","MBS","05","신선대부두 5선석","471","59513"
"부산","2025","09","MBD","03","동명부두 D3선석","19","1236"
"부산","2025","09","MBS","02","신선대부두 2선석","852","679111"
"부산","2025","09","MB7","02","7부두 72선석","240","33301"
"부산","2025","09","MBR","04","감만부두 4선석(신선대감만터미널)","889","470414"
"부산","2025","09","MBR","01","감만부두 1선석(한국허치슨터미널)","908","1102253"
"부산","2025","09","MBS","04","신선대부두 4선석","897","209054"
"부산","2025","09","MBR","E1","신감만부두 1선석","552","867236"
"부산","2025","09","MB7","03","7부두 73선석","339","119735"
"부산","2025","09","MB6","01","자성대부두 61선석","45","16905"
"부산","2025","09","MBU","02","연합부두 연2선석","118","35213"
"부산","2025","09","MB8","05","8부두 85선석","230","9629"
"부산","2025","09","MBF","13","국제여객터미널 13선석","93","23538"
"부산","2025","09","MB7","01","7부두 71선석","258","33765"
"부산","2025","09","MBR","E2","신감만부두 2선석","519","420620"
"부산","2025","09","MBF","12","국제여객터미널 12선석","190","84449"
"부산","2025","09","MBF","11","국제여객터미널 11선석","447","41542"
"부산","2025","10","MBS","05","신선대부두 5선석","540","76214"
"부산","2025","10","MBR","02","감만부두 2선석(신선대감만터미널)","541","823320"
"부산","2025","10","MBR","E3","신감만부두 3선석","615","262963"
"부산","2025","10","MBR","E2","신감만부두 2선석","600","502307"
"부산","2025","10","MBS","01","신선대부두 1선석","1068","2475022"
"부산","2025","10","MBF","11","국제여객터미널 11선석","458","42227"
"부산","2025","10","MB8","05","8부두 85선석","134","3923"
"부산","2025","10","MBS","04","신선대부두 4선석","646","166492"
"부산","2025","10","MBF","02","북항크루즈터미널 2선석","24","0"
"부산","2025","10","MBU","02","연합부두 연2선석","156","39915"
"부산","2025","10","MB7","01","7부두 71선석","412","27292"
"부산","2025","10","MBR","E1","신감만부두 1선석","685","953756"
"부산","2025","10","MB6","02","자성대부두 62선석","6","0"
"부산","2025","10","MBF","12","국제여객터미널 12선석","177","81350"
"부산","2025","10","MB6","01","자성대부두 61선석","34","0"
"부산","2025","10","MBR","04","감만부두 4선석(신선대감만터미널)","890","467325"
"부산","2025","10","MBS","02","신선대부두 2선석","803","686932"
"부산","2025","10","MB7","02","7부두 72선석","256","21508"
"부산","2025","10","MBD","03","동명부두 D3선석","15","989"
"부산","2025","10","MBR","03","감만부두 3선석(신선대감만터미널)","985","227024"
"부산","2025","10","MBS","03","신선대부두 3선석","1421","237131"
"부산","2025","10","MBF","13","국제여객터미널 13선석","122","23531"
"부산","2025","10","MB7","03","7부두 73선석","283","88655"
"부산","2025","10","MBR","01","감만부두 1선석(한국허치슨터미널)","1009","1165133"
"부산","2025","10","MB7","04","7부두 74선석","318","5191"
"부산","2025","11","MBS","05","신선대부두 5선석","684","156492"
"부산","2025","11","MB8","06","8부두 86선석","144","576599"
"부산","2025","11","MBR","01","감만부두 1선석(한국허치슨터미널)","968","1305194"
"부산","2025","11","MBF","13","국제여객터미널 13선석","29","0"
"부산","2025","11","MBR","04","감만부두 4선석(신선대감만터미널)","841","460322"
"부산","2025","11","MBS","02","신선대부두 2선석","788","698059"
"부산","2025","11","MBF","11","국제여객터미널 11선석","437","44471"
"부산","2025","11","MBS","04","신선대부두 4선석","657","124472"
"부산","2025","11","MBR","03","감만부두 3선석(신선대감만터미널)","1249","226419"
"부산","2025","11","MBS","03","신선대부두 3선석","1236","309708"
"부산","2025","11","MBF","02","북항크루즈터미널 2선석","0","57"
"부산","2025","11","MBR","E1","신감만부두 1선석","577","933943"
"부산","2025","11","MBF","12","국제여객터미널 12선석","225","108496"
"부산","2025","11","MBR","E2","신감만부두 2선석","607","530414"
"부산","2025","11","MB7","01","7부두 71선석","287","27422"
"부산","2025","11","MB8","05","8부두 85선석","282","9352"
"부산","2025","11","MBS","01","신선대부두 1선석","1140","2577736"
"부산","2025","11","MBR","02","감만부두 2선석(신선대감만터미널)","504","906334"
"부산","2025","11","MBD","03","동명부두 D3선석","13","1192"
"부산","2025","11","MB7","02","7부두 72선석","159","42022"
"부산","2025","11","MB7","04","7부두 74선석","187","7258"
"부산","2025","11","MBR","E3","신감만부두 3선석","559","312142"
"부산","2025","11","MB6","01","자성대부두 61선석","37","18"
"부산","2025","11","MB7","03","7부두 73선석","261","79651"
"부산","2025","11","MBU","02","연합부두 연2선석","158","44703"
"부산","2025","12","MBS","01","신선대부두 1선석","1114","2483878"
"부산","2025","12","MBR","E2","신감만부두 2선석","628","591065"
"부산","2025","12","MBD","03","동명부두 D3선석","15","1090"
"부산","2025","12","MBF","13","국제여객터미널 13선석","10","0"
"부산","2025","12","MBR","02","감만부두 2선석(신선대감만터미널)","48","842762"
"부산","2025","12","MBR","04","감만부두 4선석(신선대감만터미널)","1082","545200"
"부산","2025","12","MBR","01","감만부두 1선석(한국허치슨터미널)","986","1202928"
"부산","2025","12","MBR","E3","신감만부두 3선석","581","287526"
"부산","2025","12","MBF","01","북항크루즈터미널 1선석","0","105"
"부산","2025","12","MBS","04","신선대부두 4선석","947","223396"
"부산","2025","12","MBF","12","국제여객터미널 12선석","211","110970"
"부산","2025","12","MB7","01","7부두 71선석","295","38039"
"부산","2025","12","MB6","02","자성대부두 62선석","85","8709"
"부산","2025","12","MBS","02","신선대부두 2선석","942","792803"
"부산","2025","12","MBS","03","신선대부두 3선석","916","250745"
"부산","2025","12","MBR","E1","신감만부두 1선석","631","965668"
"부산","2025","12","MB7","04","7부두 74선석","329","5590"
"부산","2025","12","MBU","02","연합부두 연2선석","129","39894"
"부산","2025","12","MBR","03","감만부두 3선석(신선대감만터미널)","1019","239199"
"부산","2025","12","MB7","02","7부두 72선석","350","23391"
"부산","2025","12","MB7","03","7부두 73선석","343","124933"
"부산","2025","12","MBS","05","신선대부두 5선석","660","186190"
"부산","2025","12","MB8","05","8부두 85선석","295","5077"
